model_id,org_id,model_type,params_B,parameter_group
Xilabs/calypso-3b-alpha-v2,Xilabs,Fine-tuned,3.0,3–<7B
XuanXuanXuanXuan/Llama-2-13b-hf-gpt-4-80k,XuanXuanXuanXuan,Fine-tuned,13.0,7–<15B
XuanXuanXuanXuan/Llama-2-7b-chat-hf-gpt-3.5-80k,XuanXuanXuanXuan,Fine-tuned,7.0,7–<15B
XuanXuanXuanXuan/Llama-2-7b-hf-gpt-3.5-80k,XuanXuanXuanXuan,Fine-tuned,7.0,7–<15B
XuanXuanXuanXuan/Llama-2-7b-hf-llama2-raw-80k,XuanXuanXuanXuan,Fine-tuned,7.0,7–<15B
XuanXuanXuanXuan/Mistral-7B-Instruct-v0.1-gpt-4-80k,XuanXuanXuanXuan,Fine-tuned,7.0,7–<15B
XuanXuanXuanXuan/Mistral-7B-Instruct-v0.2-gpt-4-80k,XuanXuanXuanXuan,Fine-tuned,7.0,7–<15B
Xwin-LM/Xwin-LM-13B-V0.1,Xwin-LM,Fine-tuned,13.0,7–<15B
Xwin-LM/Xwin-LM-70B-V0.1,Xwin-LM,Fine-tuned,70.0,≥40B
Xwin-LM/Xwin-LM-7B-V0.1,Xwin-LM,Fine-tuned,7.0,7–<15B
Xwin-LM/Xwin-Math-70B-V1.0,Xwin-LM,Fine-tuned,70.0,≥40B
Xwin-LM/XwinCoder-34B,Xwin-LM,Fine-tuned,34.0,15–<40B
YKM11/Mistral-7B-adaptv0.9,YKM11,Fine-tuned,7.0,7–<15B
YKM11/Mistral-7B-adaptv1,YKM11,Fine-tuned,7.0,7–<15B
YKM12/Mistral-7B-summ-privatev1,YKM12,Fine-tuned,7.0,7–<15B
Yash21/Mistral-Quantum-dpo,Yash21,Fine-tuned,8.0,7–<15B
Yash21/OpenMistral-MoE,Yash21,Fine-tuned,24.0,15–<40B
Yash21/SuperChat-7B,Yash21,Fine-tuned,7.0,7–<15B
Yash21/TinyYi-7B-Test,Yash21,Fine-tuned,6.0,3–<7B
Yehoon/yehoon_llama2,Yehoon,Chat/post-trained,,Unknown
Yerim/ultra_llm_merged,Yerim,Fine-tuned,7.0,7–<15B
YeungNLP/LongQLoRA-Llama2-7b-8k,YeungNLP,Fine-tuned,7.0,7–<15B
YeungNLP/LongQLoRA-Vicuna-13b-8k,YeungNLP,Fine-tuned,13.0,7–<15B
YeungNLP/firefly-bloom-7b1,YeungNLP,Unknown,7.0,7–<15B
YeungNLP/firefly-gemma-7b,YeungNLP,Fine-tuned,8.0,7–<15B
YeungNLP/firefly-llama-13b,YeungNLP,Fine-tuned,13.0,7–<15B
YeungNLP/firefly-llama-13b-v1.2,YeungNLP,Fine-tuned,13.0,7–<15B
YeungNLP/firefly-llama-30b,YeungNLP,Fine-tuned,30.0,15–<40B
YeungNLP/firefly-llama2-13b,YeungNLP,Fine-tuned,13.0,7–<15B
YeungNLP/firefly-llama2-13b-chat,YeungNLP,Fine-tuned,13.0,7–<15B
YeungNLP/firefly-llama2-13b-pretrain,YeungNLP,Fine-tuned,12.0,7–<15B
YeungNLP/firefly-llama2-13b-v1.2,YeungNLP,Fine-tuned,13.0,7–<15B
YeungNLP/firefly-llama2-7b-chat-temp,YeungNLP,Unknown,,Unknown
YeungNLP/firefly-llama2-7b-pretrain,YeungNLP,Fine-tuned,6.0,3–<7B
YeungNLP/firefly-mixtral-8x7b-v0.1,YeungNLP,Fine-tuned,46.0,≥40B
YeungNLP/firefly-mixtral-8x7b-v1,YeungNLP,Fine-tuned,46.0,≥40B
YeungNLP/firefly-qwen1.5-en-14b-alpha,YeungNLP,Fine-tuned,14.0,7–<15B
YeungNLP/firefly-qwen1.5-en-14b-dpo-v0.1,YeungNLP,Fine-tuned,14.0,7–<15B
YeungNLP/firefly-qwen1.5-en-7b,YeungNLP,Fine-tuned,7.0,7–<15B
YeungNLP/firefly-qwen1.5-en-7b-dpo-v0.1,YeungNLP,Fine-tuned,7.0,7–<15B
YeungNLP/firefly-qwen1.5-en-7b-dpo-v0.1-unsloth,YeungNLP,Fine-tuned,7.0,7–<15B
YeungNLP/firefly-qwen1.5-en-7b-unsloth,YeungNLP,Fine-tuned,7.0,7–<15B
YeungNLP/firefly-zephyr-6x7b,YeungNLP,Fine-tuned,35.0,15–<40B
YeungNLP/firefly-zephyr-6x7b-lora,YeungNLP,Fine-tuned,7.0,7–<15B
YeungNLP/firefly-ziya-13b,YeungNLP,Fine-tuned,13.0,7–<15B
Yhyu13/LMCocktail-10.7B-v1,Yhyu13,Fine-tuned,10.0,7–<15B
Yhyu13/LMCocktail-Mistral-7B-v1,Yhyu13,Fine-tuned,7.0,7–<15B
Yhyu13/oasst-rlhf-2-llama-30b-7k-steps-hf,Yhyu13,Chat/post-trained,30.0,15–<40B
YorkieOH10/MistralHermesPipe-7B-slerp,YorkieOH10,Merged,7.0,7–<15B
YouKnowMee/Mistral-7b-instruct-v0.2-summ-dpo-ed2,YouKnowMee,Fine-tuned,7.0,7–<15B
YouKnowMee/Mistral-7b-instruct-v0.2-summ-dpo-ed3,YouKnowMee,Fine-tuned,7.0,7–<15B
YouKnowMee/Mistral-7b-instruct-v0.2-summ-sft-dpo-ed2,YouKnowMee,Fine-tuned,7.0,7–<15B
YouKnowMee/Mistral-7b-instruct-v0.2-summ-sft-dpo-ed3,YouKnowMee,Fine-tuned,7.0,7–<15B
YouKnowMee/Mistral-7b-instruct-v0.2-summ-sft-ed2,YouKnowMee,Fine-tuned,7.0,7–<15B
YouKnwMe/Direct-sm-private-e1,YouKnwMe,Fine-tuned,,Unknown
YouKnwMe/Mistral-7B-Instruct-exp-e2,YouKnwMe,Fine-tuned,7.0,7–<15B
YouKnwMe/Mistral-7b-instruct-v0.2-private-eds2,YouKnwMe,Fine-tuned,7.0,7–<15B
YouKnwMe/Mistral-7b-instruct-v0.2-private-edw2,YouKnwMe,Fine-tuned,7.0,7–<15B
Yukang/Llama-2-13b-chat-longlora-32k-sft,Yukang,Fine-tuned,13.0,7–<15B
Yukang/Llama-2-13b-longlora-16k-ft,Yukang,Fine-tuned,13.0,7–<15B
Yukang/Llama-2-13b-longlora-32k-ft,Yukang,Fine-tuned,13.0,7–<15B
Yukang/Llama-2-7b-longlora-100k-ft,Yukang,Fine-tuned,7.0,7–<15B
Yukang/Llama-2-7b-longlora-16k-ft,Yukang,Fine-tuned,7.0,7–<15B
Yukang/Llama-2-7b-longlora-32k-ft,Yukang,Fine-tuned,7.0,7–<15B
Yukang/LongAlpaca-13B,Yukang,Fine-tuned,13.0,7–<15B
Yukang/LongAlpaca-7B,Yukang,Fine-tuned,6.0,3–<7B
Yuma42/KangalKhan-Alpha-Emerald-7B-Fixed,Yuma42,Merged,7.0,7–<15B
Yuma42/KangalKhan-Alpha-ExtraRawRubyroid-7B,Yuma42,Merged,7.0,7–<15B
Yuma42/KangalKhan-Alpha-RawRubyroid-7B-Fixed,Yuma42,Merged,7.0,7–<15B
Yuma42/KangalKhan-Alpha-Rubyroid-7B-Fixed,Yuma42,Merged,7.0,7–<15B
Yuma42/KangalKhan-Alpha-Sapphiroid-7B-Fixed,Yuma42,Merged,7.0,7–<15B
Yuma42/KangalKhan-Beta-Ruby-7B,Yuma42,Merged,7.0,7–<15B
Yuma42/KangalKhan-Beta-Sapphire-7B,Yuma42,Merged,7.0,7–<15B
Yuma42/KangalKhan-DesolatingRuby-7B,Yuma42,Merged,7.0,7–<15B
Yuma42/KangalKhan-HardRuby-7B,Yuma42,Merged,7.0,7–<15B
Yuma42/KangalKhan-PolishedRuby-7B,Yuma42,Merged,7.0,7–<15B
Yuma42/KangalKhan-PressurizedRuby-7B,Yuma42,Merged,7.0,7–<15B
Yuma42/KangalKhan-PrimordialSapphire-7B,Yuma42,Merged,7.0,7–<15B
Yuma42/KangalKhan-RawEmerald-7B,Yuma42,Merged,7.0,7–<15B
Yuma42/KangalKhan-RawRuby-7B,Yuma42,Merged,7.0,7–<15B
Yuma42/KangalKhan-Ruby-7B,Yuma42,Merged,7.0,7–<15B
Yuma42/KangalKhan-Ruby-7B-Fixed,Yuma42,Merged,7.0,7–<15B
Yuma42/KangalKhan-Sapphire-7B,Yuma42,Merged,7.0,7–<15B
Yuma42/KangalKhan-SharpEmerald-7B,Yuma42,Merged,7.0,7–<15B
Yuma42/KangalKhan-ShatteredRuby-7B,Yuma42,Merged,7.0,7–<15B
Yuma42/KangalKhan-ShinyEmerald-7B,Yuma42,Merged,7.0,7–<15B
ZHLiu627/zephyr-gemma-rpo,ZHLiu627,Chat/post-trained,8.0,7–<15B
Zangs3011/codellama_7b_DolphinCoder,Zangs3011,Fine-tuned,7.0,7–<15B
Zangs3011/falcon_7b_DolphinCoder,Zangs3011,Fine-tuned,7.0,7–<15B
Zangs3011/gpt2_137m_DolphinCoder,Zangs3011,Fine-tuned,,Unknown
Zangs3011/mistral_7b_2EPOCH_DolphinCoder,Zangs3011,Fine-tuned,7.0,7–<15B
Zangs3011/mistral_7b_DolphinCoder,Zangs3011,Fine-tuned,7.0,7–<15B
Zangs3011/mistral_7b_HalfEpoch_DolphinCoder,Zangs3011,Fine-tuned,7.0,7–<15B
Zangs3011/mixtral_8x7b_MonsterInstruct,Zangs3011,Fine-tuned,7.0,7–<15B
Zardos/A.I.Kant-Test_Llama-3-8B-Instruct_v0.1.0,Zardos,Fine-tuned,8.0,7–<15B
Zardos/A.I.Kant-Test_Llama-3-8B-Instruct_v0.1.1,Zardos,Fine-tuned,8.0,7–<15B
Zardos/Kant-Test-0.1-Mistral-7B,Zardos,Fine-tuned,7.0,7–<15B
Zardos/nil_Llama-3-8B-Instruct_v0.1.0,Zardos,Fine-tuned,8.0,7–<15B
Zardos/nil_Llama-3-8B-Instruct_v0.1.1,Zardos,Fine-tuned,8.0,7–<15B
ZhangShenao/0.0005_llama_4iters_bs128_5551lr_iter_1,ZhangShenao,Chat/post-trained,8.0,7–<15B
ZhangShenao/0.0005_llama_4iters_bs128_5551lr_iter_2,ZhangShenao,Chat/post-trained,8.0,7–<15B
ZhangShenao/0.0005_llama_4iters_bs128_5551lr_iter_3,ZhangShenao,Chat/post-trained,8.0,7–<15B
ZhangShenao/0.0005_llama_nodpo_3iters_bs128_531lr_iter_1,ZhangShenao,Chat/post-trained,8.0,7–<15B
ZhangShenao/0.0005_llama_nodpo_3iters_bs128_531lr_iter_2,ZhangShenao,Chat/post-trained,8.0,7–<15B
ZhangShenao/0.001_idpo_declr_4iters_iter_2,ZhangShenao,Chat/post-trained,7.0,7–<15B
ZhangShenao/0.001_idpo_declr_4iters_iter_3,ZhangShenao,Chat/post-trained,7.0,7–<15B
ZhangShenao/0.001_idpo_declr_4iters_iter_4,ZhangShenao,Chat/post-trained,7.0,7–<15B
ZhangShenao/0.001_idpo_declr_iter_2,ZhangShenao,Chat/post-trained,7.0,7–<15B
ZhangShenao/0.001_idpo_declr_iter_3,ZhangShenao,Chat/post-trained,7.0,7–<15B
ZhangShenao/0.001_idpo_same_noreplacerej_declr_iter_2,ZhangShenao,Chat/post-trained,7.0,7–<15B
ZhangShenao/0.001_idpo_same_noreplacerej_declr_iter_3,ZhangShenao,Chat/post-trained,7.0,7–<15B
ZhangShenao/0.001_llama-3_nodpo_3iters_bs128_531lr_iter_1,ZhangShenao,Chat/post-trained,8.0,7–<15B
ZhangShenao/0.001_llama-3_nodpo_3iters_bs128_531lr_iter_2,ZhangShenao,Chat/post-trained,8.0,7–<15B
ZhangShenao/0.001_llama-3_nodpo_3iters_bs128_531lr_iter_3,ZhangShenao,Chat/post-trained,8.0,7–<15B
ZhangShenao/0.0_ablation_sample1_4iters_bs256_iter_1,ZhangShenao,Chat/post-trained,7.0,7–<15B
ZhangShenao/0.0_ablation_sample1_4iters_bs256_iter_2,ZhangShenao,Chat/post-trained,7.0,7–<15B
ZhangShenao/0.0_ablation_sample1_4iters_bs256_iter_3,ZhangShenao,Chat/post-trained,7.0,7–<15B
ZhangShenao/0.0_ablation_sample1_4iters_bs256_iter_4,ZhangShenao,Chat/post-trained,7.0,7–<15B
ZhangShenao/0.0_zephyr_withdpo_4iters_bs128_5551lr_iter_2,ZhangShenao,Chat/post-trained,7.0,7–<15B
ZhangShenao/0.0_zephyr_withdpo_4iters_bs128_5551lr_iter_3,ZhangShenao,Chat/post-trained,7.0,7–<15B
ZhangShenao/0.0_zephyr_withdpo_4iters_bs128_5551lr_iter_4,ZhangShenao,Chat/post-trained,7.0,7–<15B
ZoidBB/Jovian-10.7B-v1.0,ZoidBB,Fine-tuned,10.0,7–<15B
ZoidBB/Kory-0.1-11b-pre1,ZoidBB,Merged,10.0,7–<15B
ZoidBB/MultiKory-0.1-4x11b-pre1,ZoidBB,Merged,36.0,15–<40B
ZoidBB/unraveled-7b-a1,ZoidBB,Fine-tuned,7.0,7–<15B
ZySec-AI/ZySec-7B,ZySec-AI,Pretrained,7.0,7–<15B
ZySec-AI/ZySec-7B-v2,ZySec-AI,Pretrained,8.0,7–<15B
aaditya/Llama3-OpenBioLLM-8B,aaditya,Fine-tuned,8.0,7–<15B
aaditya/OpenBioLLM-Llama3-8B,aaditya,Fine-tuned,8.0,7–<15B
aari1995/germeo-7b-laser,aari1995,Fine-tuned,7.0,7–<15B
ab24g21/LaterLlamaV2,ab24g21,Fine-tuned,13.0,7–<15B
ab24g21/llama-2-new,ab24g21,Fine-tuned,,Unknown
abacaj/phi-2-super,abacaj,Chat/post-trained,2.0,<3B
abacusai/Fewshot-Metamath-Mistral,abacusai,Fine-tuned,7.0,7–<15B
abacusai/Fewshot-Metamath-OrcaVicuna-Mistral,abacusai,Fine-tuned,7.0,7–<15B
abacusai/Fewshot-Metamath-OrcaVicuna-Mistral-10B,abacusai,Fine-tuned,10.0,7–<15B
abacusai/Giraffe-13b-32k-v3,abacusai,Chat/post-trained,13.0,7–<15B
abacusai/Giraffe-beta-13b-32k,abacusai,Chat/post-trained,13.0,7–<15B
abacusai/Liberated-Qwen1.5-14B,abacusai,Fine-tuned,14.0,7–<15B
abacusai/Liberated-Qwen1.5-72B,abacusai,Fine-tuned,72.0,≥40B
abacusai/Liberated-Qwen1.5-7B,abacusai,Fine-tuned,7.0,7–<15B
abacusai/Llama-3-Giraffe-70B,abacusai,Fine-tuned,70.0,≥40B
abacusai/Llama-3-Giraffe-70B-Instruct,abacusai,Fine-tuned,70.0,≥40B
abacusai/Llama-3-Smaug-8B,abacusai,Fine-tuned,8.0,7–<15B
abacusai/MM-OV-bagel-DPO-34b-c1000-250,abacusai,Chat/post-trained,34.0,15–<40B
abacusai/MM-Orc-Vic-bagel-34b-c1000,abacusai,Fine-tuned,34.0,15–<40B
abacusai/MetaMath-Bagel-DPO-34B,abacusai,Chat/post-trained,34.0,15–<40B
abacusai/MetaMath-bagel-34b-v0.2-c1500,abacusai,Fine-tuned,34.0,15–<40B
abacusai/Slerp-CM-mist-dpo,abacusai,Fine-tuned,7.0,7–<15B
abacusai/Smaug-2-72B,abacusai,Fine-tuned,72.0,≥40B
abacusai/Smaug-34B-v0.1,abacusai,Fine-tuned,34.0,15–<40B
abacusai/Smaug-70B-v0.1,abacusai,Fine-tuned,72.0,≥40B
abacusai/Smaug-72B-v0.1,abacusai,Fine-tuned,72.0,≥40B
abacusai/Smaug-Mixtral-v0.1,abacusai,Fine-tuned,46.0,≥40B
abacusai/Smaugv0.1,abacusai,Fine-tuned,34.0,15–<40B
abacusai/bigstral-12b-32k,abacusai,Merged,12.0,7–<15B
abacusai/bigyi-15b,abacusai,Merged,15.0,15–<40B
abdulrahman-nuzha/belal-finetuned-llama2-1024-v2.2,abdulrahman-nuzha,Fine-tuned,6.0,3–<7B
abdulrahman-nuzha/belal-finetuned-llama2-v1.0,abdulrahman-nuzha,Fine-tuned,6.0,3–<7B
abdulrahman-nuzha/finetuned-Mistral-5000-v1.0,abdulrahman-nuzha,Fine-tuned,,Unknown
abdulrahman-nuzha/finetuned-Mistral-7B-Instruct-v0.2-5000-v2.0,abdulrahman-nuzha,Fine-tuned,7.0,7–<15B
abdulrahman-nuzha/finetuned-llama-v2.0,abdulrahman-nuzha,Fine-tuned,,Unknown
abdulrahman-nuzha/finetuned-llama2-chat-5000-v1.0-squad,abdulrahman-nuzha,Fine-tuned,,Unknown
abdulrahman-nuzha/finetuned-llama2-chat-5000-v2.0,abdulrahman-nuzha,Fine-tuned,,Unknown
abhinand/Llama-3-OpenBioMed-8B-slerp-v0.3,abhinand,Merged,8.0,7–<15B
abhinand/TinyLlama-1.1B-OpenHermes-2.5-Chat-v0.1-sft,abhinand,Fine-tuned,1.0,<3B
abhinand/gemma-2b-it-tamil-v0.1-alpha,abhinand,Fine-tuned,2.0,<3B
abhinand/gemma-2b-tamil,abhinand,Pretrained,2.0,<3B
abhinand/malayalam-llama-7b-instruct-v0.1,abhinand,Fine-tuned,7.0,7–<15B
abhinand/mistral7b-test001,abhinand,Pretrained,7.0,7–<15B
abhinand/tamil-llama-13b-base-v0.1,abhinand,Fine-tuned,13.0,7–<15B
abhinand/tamil-llama-13b-instruct-v0.1,abhinand,Chat/post-trained,13.0,7–<15B
abhinand/tamil-llama-7b-base-v0.1,abhinand,Fine-tuned,7.0,7–<15B
abhinand/tamil-llama-7b-instruct-v0.1,abhinand,Fine-tuned,7.0,7–<15B
abhinand/tamil-llama-7b-instruct-v0.2,abhinand,Fine-tuned,7.0,7–<15B
abhinand/telugu-llama-7b-instruct-v0.1,abhinand,Fine-tuned,7.0,7–<15B
abhiramtirumala/DialoGPT-sarcastic-medium,abhiramtirumala,Fine-tuned,,Unknown
abhishek/autotrain-8kfjk-b3gva,abhishek,Fine-tuned,13.0,7–<15B
abhishek/autotrain-cei9g-ag3pe,abhishek,Fine-tuned,46.0,≥40B
abhishek/autotrain-ixpiv-6kj1e,abhishek,Fine-tuned,7.0,7–<15B
abhishek/autotrain-llama3-70b-orpo-v1,abhishek,Fine-tuned,70.0,≥40B
abhishek/autotrain-llama3-70b-orpo-v2,abhishek,Chat/post-trained,70.0,≥40B
abhishek/autotrain-llama3-8b-open-hermes-sft,abhishek,Fine-tuned,8.0,7–<15B
abhishek/autotrain-llama3-no-robots,abhishek,Fine-tuned,8.0,7–<15B
abhishek/autotrain-llama3-oh-sft-v0-2,abhishek,Fine-tuned,70.0,≥40B
abhishek/autotrain-llama3-orpo,abhishek,Fine-tuned,8.0,7–<15B
abhishek/autotrain-llama3-orpo-v2,abhishek,Fine-tuned,8.0,7–<15B
abhishek/autotrain-mixtral-8x7b-orpo-v1,abhishek,Fine-tuned,46.0,≥40B
abhishek/autotrain-mixtral-8x7b-orpo-v2,abhishek,Fine-tuned,46.0,≥40B
abhishek/autotrain-mixtral7x8b-math,abhishek,Fine-tuned,46.0,≥40B
abhishek/autotrain-xva0j-mixtral8x7b,abhishek,Fine-tuned,46.0,≥40B
abhishek/hepu-o4zf-ravz-7-0,abhishek,Fine-tuned,7.0,7–<15B
abhishek/llama2guanacotest,abhishek,Fine-tuned,,Unknown
abhishekchohan/SOLAR-10.7B-Instruct-Forest-DPO-v1,abhishekchohan,Chat/post-trained,10.0,7–<15B
abhishekchohan/Yi-9B-Forest-DPO-v1.0,abhishekchohan,Chat/post-trained,9.0,7–<15B
abhishekchohan/mistral-7B-forest,abhishekchohan,Fine-tuned,7.0,7–<15B
abhishekchohan/mistral-7B-forest-dpo,abhishekchohan,Fine-tuned,7.0,7–<15B
abhishekchohan/mistral-7B-forest-merge,abhishekchohan,Fine-tuned,7.0,7–<15B
abhishekchohan/mistral-7B-forest-merge-v0.1,abhishekchohan,Fine-tuned,7.0,7–<15B
abhishekchohan/mistral-7B-forest-v0.1,abhishekchohan,Fine-tuned,7.0,7–<15B
abhishekchohan/mistral-7B-med-merge,abhishekchohan,Chat/post-trained,7.0,7–<15B
abideen/AlphaMonarch-daser,abideen,Chat/post-trained,7.0,7–<15B
abideen/AlphaMonarch-dora,abideen,Chat/post-trained,7.0,7–<15B
abideen/AlphaMonarch-laser,abideen,Chat/post-trained,7.0,7–<15B
abideen/Mistral-v0.2-orpo,abideen,Fine-tuned,7.0,7–<15B
abideen/Mistral-v2-orpo,abideen,Fine-tuned,7.0,7–<15B
abideen/MonarchCoder-7B,abideen,Merged,7.0,7–<15B
abideen/MonarchCoder-MoE-2x7B,abideen,Fine-tuned,12.0,7–<15B
abideen/NexoNimbus-7B,abideen,Fine-tuned,7.0,7–<15B
abideen/NexoNimbus-MoE-2x7B,abideen,Fine-tuned,12.0,7–<15B
abideen/PhigRange-2.7B-slerp,abideen,Fine-tuned,2.0,<3B
abideen/gemma-2b-openhermes,abideen,Chat/post-trained,2.0,<3B
abideen/gemma-7b-openhermes,abideen,Chat/post-trained,8.0,7–<15B
aboros98/form1,aboros98,Fine-tuned,,Unknown
aboros98/g8s-preview,aboros98,Fine-tuned,,Unknown
aboros98/groot2,aboros98,Fine-tuned,,Unknown
aboros98/lilo2,aboros98,Fine-tuned,,Unknown
aboros98/merlin1,aboros98,Fine-tuned,,Unknown
aboros98/merlin1.2,aboros98,Fine-tuned,,Unknown
aboros98/merlin1.3,aboros98,Fine-tuned,,Unknown
aboros98/merlin1.4,aboros98,Fine-tuned,,Unknown
aboros98/merlin1.5,aboros98,Fine-tuned,,Unknown
aboros98/motans1,aboros98,Fine-tuned,,Unknown
acrastt/Bean-3B,acrastt,Fine-tuned,3.0,3–<7B
acrastt/Griffin-3B,acrastt,Fine-tuned,3.0,3–<7B
acrastt/Marx-3B,acrastt,Fine-tuned,3.0,3–<7B
acrastt/Marx-3B-V2,acrastt,Fine-tuned,3.0,3–<7B
acrastt/OmegLLaMA-3B,acrastt,Fine-tuned,3.0,3–<7B
acrastt/Puma-3B,acrastt,Fine-tuned,3.0,3–<7B
acrastt/RedPajama-INCITE-Chat-Instruct-3B-V1,acrastt,Fine-tuned,2.0,<3B
acrastt/Vicuna-3B,acrastt,Unknown,,Unknown
acrastt/kalomaze-stuff,acrastt,Fine-tuned,,Unknown
adamo1139/LWM-7B-1M-1000000ctx-AEZAKMI-3_1-1702,adamo1139,Fine-tuned,6.0,3–<7B
adamo1139/Mistral-7B-AEZAKMI-v1,adamo1139,Chat/post-trained,7.0,7–<15B
adamo1139/Mistral-7B-AEZAKMI-v2,adamo1139,Fine-tuned,7.0,7–<15B
adamo1139/Yi-34B-200K-AEZAKMI-RAW-1701,adamo1139,Fine-tuned,34.0,15–<40B
adamo1139/Yi-34B-200K-AEZAKMI-RAW-2301,adamo1139,Chat/post-trained,34.0,15–<40B
adamo1139/Yi-34B-200K-AEZAKMI-RAW-2301-LoRA,adamo1139,Fine-tuned,34.0,15–<40B
adamo1139/Yi-34B-200K-AEZAKMI-RAW-2901,adamo1139,Chat/post-trained,34.0,15–<40B
adamo1139/Yi-34B-200K-AEZAKMI-XLCTX-v3,adamo1139,Chat/post-trained,34.0,15–<40B
adamo1139/Yi-34B-200K-AEZAKMI-v2,adamo1139,Chat/post-trained,34.0,15–<40B
adamo1139/Yi-34B-200K-HESOYAM-0905,adamo1139,Fine-tuned,34.0,15–<40B
adamo1139/Yi-34B-200K-rawrr1-LORA-DPO-experimental-r3,adamo1139,Fine-tuned,34.0,15–<40B
adamo1139/Yi-34B-AEZAKMI-v1,adamo1139,Chat/post-trained,34.0,15–<40B
adamo1139/Yi-34b-200K-rawrr-v2-run-0902-LoRA,adamo1139,Fine-tuned,34.0,15–<40B
adamo1139/Yi-6B-200K-AEZAKMI-v2,adamo1139,Fine-tuned,6.0,3–<7B
adamo1139/Yi-6B-200K-AEZAKMI-v2-rawrr1-DPO,adamo1139,Fine-tuned,6.0,3–<7B
adamo1139/yi-34b-200k-rawrr-dpo-1,adamo1139,Chat/post-trained,34.0,15–<40B
adamo1139/yi-34b-200k-rawrr-dpo-2,adamo1139,Fine-tuned,34.0,15–<40B
adept/persimmon-8b-base,adept,Unknown,,Unknown
adept/persimmon-8b-chat,adept,Unknown,,Unknown
adonlee/LLaMA_2_13B_SFT_v0,adonlee,Fine-tuned,13.0,7–<15B
adonlee/LLaMA_2_70B_LoRA,adonlee,Unknown,,Unknown
adonlee/Mistral_7B_SFT_DPO_v0,adonlee,Chat/post-trained,7.0,7–<15B
adowu/autocodit,adowu,Fine-tuned,7.0,7–<15B
aeonium/Aeonium-v1-BaseWeb-1B,aeonium,Pretrained,1.0,<3B
aerdincdal/CBDDO-LLM-8B-Instruct-v0.1,aerdincdal,Fine-tuned,8.0,7–<15B
aerdincdal/CBDDO-LLM-8B-Instruct-v1,aerdincdal,Fine-tuned,8.0,7–<15B
aevalone/Pengland-Merge,aevalone,Merged,8.0,7–<15B
aevalone/Test-7B-pthrough,aevalone,Merged,8.0,7–<15B
ahnyeonchan/OpenOrca-AYT-13B,ahnyeonchan,Fine-tuned,13.0,7–<15B
ahxt/LiteLlama-460M-1T,ahxt,Pretrained,,Unknown
ahxt/llama2_xs_460M_experimental,ahxt,Pretrained,,Unknown
ai-forever/mGPT,ai-forever,Pretrained,,Unknown
ai-forever/rugpt3large_based_on_gpt2,ai-forever,Fine-tuned,,Unknown
ai4bharat/Airavata,ai4bharat,Fine-tuned,6.0,3–<7B
aihub-app/ZySec-7B-v1,aihub-app,Fine-tuned,7.0,7–<15B
aihub-app/ZySec-8B-v2,aihub-app,Pretrained,8.0,7–<15B
aihub-app/zyte-1.1b,aihub-app,Fine-tuned,1.0,<3B
aihub-app/zyte-1B,aihub-app,Pretrained,1.0,<3B
aiplanet/buddhi-128k-chat-7b,aiplanet,Chat/post-trained,7.0,7–<15B
airesearch/LLaMa3-8b-WangchanX-sft-Demo,airesearch,Chat/post-trained,8.0,7–<15B
airesearch/typhoon-7b-WangchanX-sft-Demo,airesearch,Chat/post-trained,7.0,7–<15B
aisquared/chopt-1_3b,aisquared,Fine-tuned,3.0,3–<7B
aisquared/chopt-2_7b,aisquared,Fine-tuned,7.0,7–<15B
aisquared/dlite-v1-124m,aisquared,Fine-tuned,,Unknown
aisquared/dlite-v1-1_5b,aisquared,Fine-tuned,5.0,3–<7B
aisquared/dlite-v1-355m,aisquared,Fine-tuned,,Unknown
aisquared/dlite-v1-774m,aisquared,Fine-tuned,,Unknown
aisquared/dlite-v2-124m,aisquared,Fine-tuned,,Unknown
aisquared/dlite-v2-1_5b,aisquared,Fine-tuned,5.0,3–<7B
aisquared/dlite-v2-355m,aisquared,Fine-tuned,,Unknown
aisquared/dlite-v2-774m,aisquared,Fine-tuned,,Unknown
aivince/alpaca_mistral-7b-v0.2,aivince,Fine-tuned,7.0,7–<15B
ajibawa-2023/Code-13B,ajibawa-2023,Fine-tuned,13.0,7–<15B
ajibawa-2023/Code-290k-13B,ajibawa-2023,Fine-tuned,13.0,7–<15B
ajibawa-2023/Code-290k-6.7B-Instruct,ajibawa-2023,Fine-tuned,6.0,3–<7B
ajibawa-2023/Code-Llama-3-8B,ajibawa-2023,Fine-tuned,8.0,7–<15B
ajibawa-2023/Code-Mistral-7B,ajibawa-2023,Fine-tuned,7.0,7–<15B
ajibawa-2023/General-Stories-Mistral-7B,ajibawa-2023,Fine-tuned,7.0,7–<15B
ajibawa-2023/OpenHermes-2.5-Code-290k-13B,ajibawa-2023,Fine-tuned,13.0,7–<15B
ajibawa-2023/Python-Code-13B,ajibawa-2023,Fine-tuned,13.0,7–<15B
ajibawa-2023/Python-Code-33B,ajibawa-2023,Fine-tuned,33.0,15–<40B
ajibawa-2023/Scarlett-Llama-3-8B,ajibawa-2023,Fine-tuned,8.0,7–<15B
ajibawa-2023/Scarlett-Llama-3-8B-v1.0,ajibawa-2023,Fine-tuned,8.0,7–<15B
ajibawa-2023/SlimOrca-Llama-3-8B,ajibawa-2023,Fine-tuned,8.0,7–<15B
ajibawa-2023/Uncensored-Frank-13B,ajibawa-2023,Fine-tuned,13.0,7–<15B
